"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 21:01:22 GMT 2024","Fri Dec 20 21:01:28 GMT 2024","6030","Juice shop logins","","","","","Login with bender account. SQL injection",""
"failed","Fri Dec 20 21:01:28 GMT 2024","Fri Dec 20 21:01:35 GMT 2024","7486","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
