"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 20 16:03:48 GMT 2024","Fri Dec 20 16:03:56 GMT 2024","7848","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
"passed","Fri Dec 20 16:03:41 GMT 2024","Fri Dec 20 16:03:48 GMT 2024","6454","Juice shop logins","","","","","Login with bender account. SQL injection",""
