"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 16:39:33 GMT 2024","Fri Dec 20 16:39:39 GMT 2024","5838","Juice shop logins","","","","","Login with bender account. SQL injection",""
"failed","Fri Dec 20 16:39:39 GMT 2024","Fri Dec 20 16:39:47 GMT 2024","8035","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
