"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 20 20:21:46 GMT 2024","Fri Dec 20 20:21:54 GMT 2024","7521","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
"passed","Fri Dec 20 20:21:40 GMT 2024","Fri Dec 20 20:21:46 GMT 2024","5675","Juice shop logins","","","","","Login with bender account. SQL injection",""
