"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 21:48:07 GMT 2024","Fri Dec 20 21:48:13 GMT 2024","6269","Juice shop logins","","","","","Login with bender account. SQL injection",""
"failed","Fri Dec 20 21:48:13 GMT 2024","Fri Dec 20 21:48:21 GMT 2024","7785","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
