"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 20 18:57:06 GMT 2024","Fri Dec 20 18:57:15 GMT 2024","8430","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
"passed","Fri Dec 20 18:56:59 GMT 2024","Fri Dec 20 18:57:06 GMT 2024","7221","Juice shop logins","","","","","Login with bender account. SQL injection",""
