"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 20:56:09 GMT 2024","Fri Dec 20 20:56:15 GMT 2024","5842","Juice shop logins","","","","","Login with bender account. SQL injection",""
"failed","Fri Dec 20 20:56:15 GMT 2024","Fri Dec 20 20:56:23 GMT 2024","7898","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
