"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 20 20:29:02 GMT 2024","Fri Dec 20 20:29:09 GMT 2024","7526","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
"passed","Fri Dec 20 20:28:56 GMT 2024","Fri Dec 20 20:29:02 GMT 2024","5607","Juice shop logins","","","","","Login with bender account. SQL injection",""
