"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 20 16:44:02 GMT 2024","Fri Dec 20 16:44:09 GMT 2024","7589","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
"passed","Fri Dec 20 16:43:56 GMT 2024","Fri Dec 20 16:44:02 GMT 2024","6029","Juice shop logins","","","","","Login with bender account. SQL injection",""
