"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 20 22:03:43 GMT 2024","Fri Dec 20 22:03:51 GMT 2024","7407","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
"passed","Fri Dec 20 22:03:37 GMT 2024","Fri Dec 20 22:03:43 GMT 2024","6322","Juice shop logins","","","","","Login with bender account. SQL injection",""
