"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 19:20:50 GMT 2024","Fri Dec 20 19:20:56 GMT 2024","5721","Juice shop logins","","","","","Login with bender account. SQL injection",""
"failed","Fri Dec 20 19:20:56 GMT 2024","Fri Dec 20 19:21:04 GMT 2024","7578","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
