"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 20 16:19:46 GMT 2024","Fri Dec 20 16:19:54 GMT 2024","8050","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
"failed","Fri Dec 20 16:19:33 GMT 2024","Fri Dec 20 16:19:46 GMT 2024","13101","Juice shop logins","","","","","Login with bender account. SQL injection",""
