"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 20 16:07:40 GMT 2024","Fri Dec 20 16:07:48 GMT 2024","7700","Juice shop logins","","","","","Login with bender account. SQL injection. Failing test to check if screenshot is displayed correctly",""
"passed","Fri Dec 20 16:07:33 GMT 2024","Fri Dec 20 16:07:40 GMT 2024","6772","Juice shop logins","","","","","Login with bender account. SQL injection",""
